id,title,description,link,image_link,price,availability,product_type,brand,condition,availability_circle_origin.latitude,availability_circle_origin.longitude,availability_circle_radius,availability_circle_radius_unit
facial_1,Limpieza Facial Express,"Este tratamiento está diseñado para limpiar y nutrir la piel en poco tiempo, ideal para mantener el rostro libre de impurezas entre tratamientos más profundos.",https://zenspa.com.co/faciales,https://zenspa.com.co/images/faciales/limpieza-facial-express-zen-spa-roldanillo.webp,90000 COP,in stock,Tratamientos Faciales,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
facial_2,Limpieza Facial Profunda,Nuestra experiencia más completa. Un ritual intensivo que combina aparatología avanzada para pulir y firmar la piel en una sola sesión. Perfecto para pieles que necesitan un cambio visible inmediato.,https://zenspa.com.co/faciales,https://zenspa.com.co/images/faciales/limpieza-facial-profunda-zen-spa-roldanillo.webp,120000 COP,in stock,Tratamientos Faciales,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
facial_3,Hidratación Facial,"Ideal para combatir la resequedad causada por el clima cálido. Devolvemos el agua y los nutrientes esenciales a tu piel para un efecto de ""cara lavada"" radiante y saludable.",https://zenspa.com.co/faciales,https://zenspa.com.co/images/faciales/hidratacion-facial-dermoestetica-roldanillo.webp,50000 COP,in stock,Tratamientos Faciales,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
facial_4,Tratamiento Anti-Manchas,Un protocolo enfocado en tratar hiperpigmentaciones solares u hormonales. Trabajamos para aclarar y unificar el tono de tu piel de manera segura y progresiva.,https://zenspa.com.co/faciales,https://zenspa.com.co/images/faciales/tratamiento-despigmentante-manchas-roldanillo.webp,0 COP,in stock,Tratamientos Faciales,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
facial_5,Rejuvenecimiento Facial,"Nuestro tratamiento más avanzado para revertir los signos de la edad. Enfocado en la regeneración celular, mejora la elasticidad y suaviza líneas de expresión para una piel visiblemente más joven.",https://zenspa.com.co/faciales,https://zenspa.com.co/images/faciales/rejuvenecimiento-facial-avanzado-roldanillo.webp,500000 COP,in stock,Tratamientos Faciales,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
experiencia_1,Dúo de Bienestar y Masaje,Un regalo para agradecer la conexión más fuerte. Comparte un momento de paz y bienestar con tu persona favorita.,https://zenspa.com.co/experiencias,https://zenspa.com.co/images/experiencias/duo-bienestar-masaje-parejas-roldanillo.webp,205000 COP,in stock,Experiencias de Spa,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
experiencia_2,Ritual de Conexión para Dos,La experiencia perfecta para desconectar del mundo y reconectar con esa persona especial. Un ritual diseñado para reavivar la complicidad y la calma a través del tacto y la serenidad.,https://zenspa.com.co/experiencias,https://zenspa.com.co/images/experiencias/ritual-conexion-pareja-zen-spa-roldanillo.webp,250000 COP,in stock,Experiencias de Spa,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
experiencia_3,Paquete Romántico Premium,Un día de spa diseñado para el amor. Una experiencia que combina los tratamientos más exclusivos con un ambiente de lujo para que la conexión sea inolvidable.,https://zenspa.com.co/experiencias,https://zenspa.com.co/images/experiencias/plan-romantico-premium-parejas-roldanillo.webp,290000 COP,in stock,Experiencias de Spa,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
experiencia_4,Ritual Nocturno,"Una velada inolvidable en un ambiente íntimo y privado. Nuestro Ritual Nocturno es la máxima expresión de romance y bienestar, con decoración exclusiva y cena para celebrar un momento único.",https://zenspa.com.co/experiencias,https://zenspa.com.co/images/experiencias/ritual-nocturno-romantico-roldanillo.webp,350000 COP,in stock,Experiencias de Spa,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
experiencia_5,Ritual Nocturno con Serenata,Una variación del Ritual Nocturno que incluye una romántica serenata para esa persona especial.,https://zenspa.com.co/experiencias,https://zenspa.com.co/images/experiencias/ritual-nocturno-serenata-parejas-roldanillo.webp,470000 COP,in stock,Experiencias de Spa,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
masaje_1,Masaje Relajante Normal,Masaje de relajación corporal completo de pies a cabeza con aceites esenciales y aromaterapia de grado clínico. Ideal para liberar tensiones acumuladas y recuperar la armonía.,https://zenspa.com.co/masajes,https://zenspa.com.co/images/masajes/IMG-20250920-WA0052.jpg,100000 COP,in stock,Masajes Individuales,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
masaje_2,Masaje Relajante Completo,"Nuestra terapia premium de descanso profundo. Incorpora la calidez relajante de las piedras volcánicas, la técnica drenante de bambuterapia y la estimulación de reflexología podal para un alivio muscular total.",https://zenspa.com.co/masajes,https://zenspa.com.co/images/masajes/IMG-20250906-WA0127.jpg,120000 COP,in stock,Masajes Individuales,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
masaje_3,Masaje Terapéutico,"Diseñado específicamente para tratar y aliviar dolores musculares severos o contracturas profundas. Dependiendo de la cronicidad del dolor y la zona afectada, se le debe advertir al cliente que el tratamiento puede llegar a requerir una doble sesión.",https://zenspa.com.co/masajes,https://zenspa.com.co/images/masajes/masaje-terapeutico-dolor-muscular-roldanillo.webp,140000 COP,in stock,Masajes Individuales,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
masaje_4,Masaje Deportivo,"Orientado a la descarga y optimización dermo-muscular del deportista, ideal para ciclistas de ruta y parapentistas de la región del norte del Valle.",https://zenspa.com.co/masajes,https://zenspa.com.co/images/masajes/masaje-deportivo-recuperacion-atletas-roldanillo.webp,130000 COP,in stock,Masajes Individuales,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
minidiva_primer-dia,Mi Primer Día de Spa,La introducción perfecta al mundo del bienestar. Una tarde llena de detalles divertidos y relajantes para que se sienta como una princesa.,https://zenspa.com.co/minidivas,https://zenspa.com.co/images/minidivas/primer-dia.webp,135000 COP,in stock,Spa Infantil Mini Divas,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
minidiva_diva-premium,Experiencia Diva Premium,Elevamos su día de spa con más mimos y sorpresas para que se sienta como una verdadera diva en una celebración inolvidable.,https://zenspa.com.co/minidivas,https://zenspa.com.co/images/minidivas/experiencia-spa-infantil-premium-roldanillo.webp,160000 COP,in stock,Spa Infantil Mini Divas,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
minidiva_diva-vip,Celebración Diva VIP,"La experiencia más exclusiva, donde cada detalle es personalizado para hacer sus sueños realidad. El día especial que nunca olvidará.",https://zenspa.com.co/minidivas,https://zenspa.com.co/images/minidivas/cumpleanos-spa-ninas-mini-divas-roldanillo.webp,195000 COP,in stock,Spa Infantil Mini Divas,Zen Spa Bienestar,new,4.4137,-76.1554,50,km
